A,B,result
Combinatorics,Algebra,1
Computation,Statistical_inference,0
Analysis_of_algorithms,Computational_science,1
Lexical_analysis,Software_framework,0
Superscalar,Computer_architecture,1
Support_vector_machine,Python_(programming_language),0
Imperative_programming,Programming_language,1
Array_data_structure,Data_structure,1
Arithmetic,Queue_(data_structure),0
Turing_machine,Theory_of_computation,1
Algorithm,Integer,1
Robot,Markov_process,0
Feature_extraction,Algorithm,1
Computer_animation,Image,1
Foundations_of_mathematics,Public-key_cryptography,0
Programming_language,Computability,1
Stochastic_process,Probability,1
Shortest_path_problem,Flow_network,0
Functional_programming,Computer_science,1
Economics,Relational_database,0
Randomized_algorithm,Social_network,0
System_programming,MATLAB,0
Distributed_computing,Software_design,0
Machine_learning,Computational_complexity_theory,1
Interpolation,Mathematics,1
Formal_language,Discrete_mathematics,1
Tensor,Fast_Fourier_transform,0
Natural_language_processing,Graph_theory,1
Algorithm_design,Analysis_of_algorithms,1
Coding_theory,User_interface,0
Computational_geometry,Computer,1
Automata_theory,Programming_language,0
Computational_chemistry,3D_modeling,0
Computer_programming,Computing,1
Problem_solving,Algorithm,0
Random_walk,Markov_chain,1
Digital_electronics,Network_security,0
Statistical_hypothesis_testing,Statistical_inference,1
Wavelet,Model_checking,0
Database_design,Robotics,0
Data_analysis,Exponential_family,0
Interpolation,3D_modeling,0
Finite_difference,Web_service,0
Parsing,String_(computer_science),1
Embedded_system,Bioinformatics,0
Automated_theorem_proving,PSPACE,0
Compiler,Computer_science,1
Automated_theorem_proving,Mathematical_proof,1
Polymorphism_(computer_science),Knowledge_representation_and_reasoning,0
Fast_Fourier_transform,Computer,0
Analysis_of_algorithms,Probability_theory,1
Information_theory,Quantum_computer,0
Computational_complexity_theory,Message_passing,0
Suffix_tree,String_searching_algorithm,1
Scope_(computer_science),Computer_programming,1
Vector_processor,ML_(programming_language),0
Relational_database,Database_management_system,1
Query_optimization,SQL,1
Relational_database_management_system,Relational_database,1
Monad_(functional_programming),Functional_programming,1
Object-oriented_programming,Computer_programming,1
Computer_security,Mathematics,1
Object-oriented_programming,Structured_programming,1
Algorithm_design,Computer_science,1
Signal_processing,Object_(computer_science),0
Denotational_semantics,Variable_(computer_science),0
User_interface_design,Memory_hierarchy,0
Fixed_point_(mathematics),Mathematics,1
Packet_switching,Computer_network,1
Image_analysis,Software_development,0
Programming_language,Dynamic_programming,0
Symbol_table,Iterative_method,0
NP-complete,Computational_complexity_theory,1
Halting_problem,Turing_machine,1
C_(programming_language),Computing,1
Algebra,Arithmetic,1
Shading,Context-free_grammar,0
Symmetric_multiprocessing,Internet,0
Kalman_filter,System_call,0
Theoretical_computer_science,Computation,1
Correlation_and_dependence,Logic,0
Knowledge_representation_and_reasoning,Algorithm_design,1
Object-oriented_programming,Embedded_system,0
Query_optimization,Finite_difference,0
Motion_planning,Robotics,1
Finite_difference,Boundary_value_problem,1
Markov_process,Conditional_probability,1
Support_vector_machine,Algorithm,1
Computer_programming,Data_structure,1
Database_management_system,Database_transaction,1
Computational_chemistry,Computer_programming,1
Image_processing,Quantum_computer,0
Object_(computer_science),String_(computer_science),0
Algorithm,Routing,0
NP-complete,Calculus_of_variations,0
Graphical_user_interface,Computer,1
Digital_electronics,Programming_language,0
JavaScript,Computer,1
Computer,NP_(complexity),0
C_(programming_language),Computer,1
Assembly_language,Computer,1
Cryptanalysis,Modular_arithmetic,1
User_interface,Computer_programming,1
String_searching_algorithm,Modular_arithmetic,0
Integral,Speech_recognition,0
Ordinary_differential_equation,Semidefinite_programming,0
Cache_coherence,Parallel_computing,1
Monte_Carlo_method,Expected_value,1
Foundations_of_mathematics,Deadlock,0
Quantum_mechanics,Parametric_polymorphism,0
Poisson_distribution,Motion_capture,0
Data_mining,Data,1
Personal_computer,Graph_theory,0
User_interface_design,Quantum_computer,0
Tensor,Markov_process,0
Relational_model,Data_type,1
Cryptography,Probability_theory,1
Artificial_intelligence,Database_normalization,0
Monte_Carlo_method,Query_language,0
Gradient_descent,Algorithm,1
Graph_coloring,Graph_theory,1
Question_answering,Expert_system,1
Hidden_Markov_model,Automated_theorem_proving,0
